App Name,App Hash,Category
transparent_wallpaper,6db6e655ed1532145df6ec498f5b724b31d57fd132a4f4326a0d03b86550db4b,Personalization
color_launcher,7f117778ef2dee365918e2ecf28eb33a8d0e5356c99b5dbce3a1149e73e317b0,Personalization
zedge_wallpaper_and_ringtone,d7a59b60c2400586f75d05537ca98bd935c3f8b4a6053a1f60a012e7d6770012,Personalization
newlook_launcher,c2eb66a0f5faee889a2b49950ab1e560c35f50c0454d7b840ea9444e6eab50a7,Personalization
edge_lighting_led_borderlight,ed824316f3dea5c71a8cc74e7b48182de5d1af955201bc467e59ffaaf910cb79,Personalization
ocean_wallpapers4k,01ce6c22625ed81584320aca8be94d59a5698621f5c0981a3569833432916165,Personalization
call_theme_and_ringtone,27b33613fcaeccac826a32bb33046a83cba2792b156dba36d92e88eaa3af0209,Personalization
realme_hd_wallpapers,ecd33c3832307fdde347d4584d68a19d3c9195b8aedfdbb59c0304feacead83a,Personalization
zomato_food_delivery,aea955a3d04349e827e1abe21040e22039263890ab21478dd385083adcff0c95,Food_and_Drink
baking_recipe,2bf9750642db909baf49c1cf8403a947e4e8ee2f2c8614fc4e3ca841dceca907,Food_and_Drink
500+_health_smoothie,22f8f47800ed46cd194ea1257cbe3b5675a188a663dcfda0ecd05756d0b8c31f,Food_and_Drink
uber_eats,91835eb0b2de443cbd4d7f91db356ea59e8e91fec5819a71b02cd94255346ba4,Food_and_Drink
breakfast_recipes,ef7866c03291cb161802069c64951437fab99ae848f59fcbf1c8e3751631dcbd,Food_and_Drink
fastfood_recipe,743c10c857013d0805309ccd95a355f06d09120fd0ee0983e5bd867558909fb7,Food_and_Drink
that_recipe,c6f16b8ea798ad8782c7af36272097356b48bc3a722e61653f21e8c6240caffe,Food_and_Drink
cookbook,100b5dc54fddb0a848098cbd0bb9face45f6a5c5e24329c0c62fdb0c120beb7f,Food_and_Drink
yelp,9f90426cb3075083963b16e39864247002257a421221b8dece6a3f89e20a95a0,Food_and_Drink
cake_recipes,67c08f16dff256aaab4bbb085a1939dbd9da90b3e71d9582f8421d6f35a07f6a,Food_and_Drink
brainly,c58fa22d990c40fded35d9a0cb5c853ce74dd163643a3fc4e6a58302b531425d,Educational
word_riddles,1d5c4f2c898e73b9a95834053c03b9af8a69d814d9692696b205bf214659ed87,Educational
word_pronunciation,69a16b1c4b9020bf932a02d076c58ad83488eb39b4ca905e0449af7bf3090d3f,Educational
drops,8de3ad04ac788dc80b402d502b43396f568d2cb2b9d90f19fd1417fd91bf7d03,Educational
busuu,06454dcd433ee453c7d9aeadd1f52d2389030345ae809452c685fcbbbf22109c,Educational
alison,42a90f1fd0294d49e7f2c5b6e5198b5ff80ccf30c5f24c39b1a3044ba754fdf4,Educational
memrise,e0f2ab780ef351738ac79f691cedec25f00c8cb6cc2020c50626c2e5b0ffebba,Educational
duolingo,5acc9e231284ab67a0fb4b22237d56983906cdd56bfd9de6449e6083efef90bf,Educational
translatepro,bb497b39759f33116b49ea5084b90a384b38cd5d8dcd230dbb72444d60362f13,Educational
mathgames,d15ccb8083a2d9412281a19abe43186d67c95e09fc855b31745cfc3a1218e986,Educational
check_mytrip,f10c70ae1714f60860239d546f04fcb82d06ba5685436862a85f7dae479e6111,Travel_and_local
